10000000,41035,8
10000000,48260,2
10000000,48240,8
10000000,48250,6
10000001,31266,9
10000001,31268,9
10000001,31260,5
10000001,31271,8
10000002,41038,7
10000002,41036,8
10000002,41037,8
10000002,41035,7
10000003,48230,6
10000003,48240,7
10000003,41038,5
10000003,41036,5
10000003,48250,8
10000003,41035,1
10000003,41037,4
10000005,31265,8
10000005,31016,10
10000005,31269,6
10000005,31266,4
10000005,31268,7
10000005,31271,10
10000005,41065,10
10000005,41092,6
10000006,48001,9
10000006,48240,9
10000006,48250,8
10000006,48260,7
10000006,48221,6
10000006,48430,6
10000006,48230,7
10000007,31265,9
10000007,31271,7
10000007,41115,6
10000007,41120,5
10000008,31271,7
10000008,31016,7
10000010,48230,7
10000010,48250,3
10000011,48250,7
10000011,48230,8
10000011,41037,4
10000011,41038,6
10000012,41092,8
10000012,48023,6
10000012,31268,8
10000012,31266,7
10000013,48250,7
10000013,41037,10
10000013,41035,7
10000013,41036,9
10000014,31269,7
10000014,31266,5
10000014,31268,8
10000014,41065,6
10000014,31271,8
10000014,48023,9
10000014,41092,3
10000014,31265,6
10000015,41028,10
10000015,48260,10
10000015,48250,6
10000015,48230,10
10000015,41035,6
10000015,48270,7
10000015,48240,6
10000016,41115,6
10000016,31271,6
10000017,48230,5
10000017,48260,7
10000017,48250,6
10000017,48270,10
10000017,41035,7
10000017,41028,5
10000017,48240,7
10000019,48260,5
10000019,48430,10
10000020,31271,8
10000020,31250,9
10000020,31266,8
10000020,31243,5
10000021,41120,7
10000021,31271,2
10000021,31265,4
10000021,41113,5
10000022,31269,6
10000022,31271,5
10000022,41092,8
10000022,31266,7
10000023,41039,6
10000023,31269,7
10000023,31268,7
10000023,41092,6
10000023,31271,7
10000023,31266,9
10000026,48023,9
10000026,31266,10
10000026,31265,7
10000027,48260,10
10000027,48240,6
10000028,31016,6
10000028,41092,8
10000029,31016,9
10000029,41065,7
10000030,31271,6
10000030,31268,8
10000030,31266,5
10000030,41092,6
10000030,31265,10
10000030,31269,8
10000030,48023,10
10000031,41028,6
10000031,48270,6
10000031,48230,2
10000031,48250,10
10000031,48260,9
10000031,41035,7
10000031,48240,7
10000032,48610,9
10000032,41039,10
10000032,48310,7
10000032,48240,9
10000033,41120,8
10000033,31266,10
10000035,48550,2
10000035,48570,1
10000036,48260,5
10000036,48001,7
10000036,48430,6
10000036,48240,7
10000036,48230,8
10000036,48221,4
10000036,48250,8
10000037,48023,6
10000037,31269,6
10000037,31266,6
10000037,31265,10
10000037,31250,6
10000037,31271,3
10000037,31272,10
10000037,31268,6
10000038,31245,9
10000038,31257,5
10000039,31268,7
10000039,48023,8
10000039,31271,1
10000039,48024,10
10000039,31265,7
10000039,31266,6
10000039,31263,7
10000039,31269,5
10000040,48240,5
10000040,48001,7
10000040,48250,6
10000040,48230,10
10000041,31269,5
10000041,41039,6
10000041,31268,6
10000041,31271,8
10000043,48260,8
10000043,48240,6
10000044,41187,10
10000044,31247,5
10000045,48610,8
10000045,48520,7
10000046,31266,7
10000046,48023,5
10000046,31268,8
10000046,41065,4
10000047,31265,6
10000047,31268,6
10000047,31266,6
10000047,31243,5
10000048,31269,10
10000048,31016,9
10000048,41092,8
10000048,31272,6
10000049,48230,5
10000049,41039,7
10000049,48240,8
10000049,48610,7
10000050,48260,9
10000050,41035,3
10000050,48270,5
10000050,48240,10
10000051,48310,7
10000051,41039,8
10000052,31271,4
10000052,31272,5
10000053,31265,8
10000053,41115,6
10000054,41065,8
10000054,31016,7
10000057,31268,9
10000057,31280,8
10000059,31264,9
10000059,48024,8
10000059,48023,10
10000059,31269,8
10000059,31266,5
10000059,31260,8
10000059,31271,6
10000059,31268,7
10000060,31016,8
10000060,41065,5
10000061,31265,8
10000061,41113,8
10000061,41092,6
10000061,48023,8
10000061,31271,6
10000061,41120,2
10000061,41115,5
10000061,31266,6
10000062,41065,6
10000062,31016,9
10000063,31260,6
10000063,48023,8
10000063,31263,7
10000063,31271,5
10000063,31269,9
10000063,31266,9
10000063,31268,9
10000063,31264,5
10000064,48221,9
10000064,48260,5
10000064,48230,6
10000064,48240,8
10000067,31271,6
10000067,31272,5
10000067,31269,9
10000067,31266,7
10000067,31268,10
10000067,41092,5
10000067,48023,6
10000067,31265,4
10000068,41120,8
10000068,31271,2
10000068,41113,7
10000068,31266,9
10000068,41049,10
10000068,31265,7
10000068,48023,9
10000068,31268,10
10000069,48023,6
10000069,31265,8
10000069,31268,5
10000069,31271,8
10000069,31272,7
10000069,31016,5
10000069,41092,7
10000069,41065,5
10000070,48023,8
10000070,41092,5
10000070,31265,5
10000070,31266,8
10000070,31268,2
10000070,31269,8
10000070,31271,7
10000071,31268,8
10000071,31266,8
10000071,41120,8
10000071,31271,7
10000072,48260,8
10000072,48221,7
10000074,31266,5
10000074,41115,6
10000074,48023,5
10000074,41049,8
10000075,48430,5
10000075,48001,9
10000076,31264,7
10000076,48023,5
10000078,31269,6
10000078,48023,7
10000079,48240,9
10000079,41037,1
10000080,41092,7
10000080,31271,6
10000081,41092,5
10000081,31250,8
10000081,31272,10
10000081,31266,7
10000081,31269,7
10000081,31271,8
10000081,31243,7
10000081,31265,8
10000082,48310,10
10000082,48240,6
10000082,48610,8
10000082,41039,5
10000082,48230,7
10000084,48001,8
10000084,48250,8
10000085,31265,7
10000085,41115,9
10000085,41049,10
10000085,31266,8
10000085,41113,6
10000085,41120,7
10000085,48023,5
10000085,31268,7
10000087,31265,7
10000087,31271,7
10000087,31269,9
10000087,48023,7
10000087,31250,7
10000087,31266,6
10000087,41092,6
10000087,31272,7
10000089,31247,8
10000089,31245,8
10000089,31268,8
10000089,31280,8
10000089,31276,6
10000089,31257,8
10000089,31269,10
10000089,41187,8
10000091,31250,4
10000091,31268,7
10000091,31269,5
10000091,31243,9
10000094,41028,6
10000094,48230,7
10000094,48270,7
10000094,48260,3
10000094,48250,8
10000094,48240,5
10000094,41035,1
10000095,41065,6
10000095,31016,7
10000097,48230,8
10000097,48240,10
10000098,31268,5
10000098,31263,10
10000098,48023,7
10000098,48024,5
None,None,0
None,None,0
1000,41096,2
